Reaction Mechanism,Substrate/Product Cardinality,Directionality,Modifier
AllostericInhibitionEmpirical,UniUni;,Rev,I
AllostericInhibitionMWC,UniNull; UniUni; UniBi;,Irrev,I
BiIrrev,BiNull; BiUni; BiBi;,Irrev,None
CatalyticActivationIrrev,UniNull; UniUni; UniBi;,Irrev,A
CatalyticActivationRev,UniUni;,Rev,A
CompetitiveInhibitionIrrev,UniNull; UniUni; UniBi;,Irrev,I
CompetitiveInhibitionRev,UniUni;,Rev,I
ConstantFluxIrrev,UniNull; UniUni; UniBi; BiUni; BiBi,Irrev,None
Hill1ModifierRev,UniUni;,Rev,M
Hill2ModifierRev,UniUni;,Rev,M2
HillIrrev,UniNull; UniUni; UniBi;,Irrev,None
HillRev,UniUni;,Rev,None
HyperbolicModifierIrrev,UniNull; UniUni; UniBi;,Irrev,M
HyperbolicModifierRev,UniUni;,Rev,M
IsoUniUni,UniUni;,Rev,None
MassActionBiBiRev,BiBi;,Rev,None
MassActionBiIrrev,BiNull; BiUni; BiBi;,Irrev,None
MassActionBiUniRev,BiUni;,Rev,None
MassActionUniBiRev,UniBi;,Rev,None
MassActionUniIrrev,UniNull; UniUni; UniBi;,Irrev,None
MassActionUniUniRev,UniUni;,Rev,None
MichaelisMentenIrrev,UniNull; UniUni; UniBi;,Irrev,None
MichaelisMentenRev,UniUni;,Rev,None
MixedActivationIrrev,UniNull; UniUni; UniBi;,Irrev,A
MixedActivationRev,UniUni;,Rev,A
MixedInhibitionIrrev,UniNull; UniUni; UniBi;,Irrev,I
MixedInhibitionRev,UniUni;,Rev,I
NoncompetitiveInhibitionIrrev,UniNull; UniUni; UniBi;,Irrev,I
NoncompetitiveInhibitionRev,UniUni;,Rev,I
OrderedBiBi,BiBi;,Rev,None
OrderedBiUni,BiUni;,Rev,None
OrderedUniBi,UniBi;,Rev,None
PingPongBiBi,BiBi;,Rev,None
SpecificActivationIrrev,UniNull; UniUni; UniBi;,Irrev,A
SpecificActivationRev,UniUni;,Rev,A
SubstrateActivationIrrev,UniNull; UniUni; UniBi;,Irrev,None
SubstrateInhibitionIrrev,UniNull; UniUni; UniBi;,Irrev,None
SubstrateInhibitionRev,UniUni;,Rev,None
UncompetitiveInhibitionIrrev,UniNull; UniUni; UniBi;,Irrev,I
